index,title,artist,propertyA,materialA,propertyB,materialB,propertyC,materialC,propertyD,materialD,transform,application,texture,final property,keyword,link
35,Flax Chair,Christien Meindertsma,plant,flax,starch,pla, , , , ,heat,furniture,hard,bioplastic,bioplastic chair furniture hard flax pla,https://christienmeindertsma.com/Flax-Chair
36,MycoWork,MycoWork,fungi,mycelium, , , , , , ,grow,textile,flexible,leather,leather grow mycelium biodegradable mushroom,https://www.mycoworks.com/
37,Growing Lab,Officina Corpuscoli,fungi,mycelium, , , , , , ,grow,material,soft,bioplastic,bioplastic mycelium fungi achictecture design grow,https://www.corpuscoli.com/projects/the-growing-lab/
38,Mycelium Textile,Carole Collet,fungi,mycelium, , , , , , ,heat,textile,soft,coating,textile pattern mycelium  grow,https://www.domusweb.it/en/design/gallery/2019/04/01/carole-collet-mycelium-textiles.html
39,Grow It Yourself,Krown Design,fungi,mycelium,water,water, , , , ,grow,furniture,hard,material,lamp homeware mycelium mushroom grow,https://www.krown-design.com/product-category/grow-it-yourself/?product_view=list
40,Invisible Resources,Zuzana Gombosova,plant,cellulose,fungi,bacteria, , , , ,grow,pattern,hard,coating,paint bacterial cellulose pigment grow,https://www.frameweb.com/news/invisible-resources-by-zuzana-gombosova
41,Interwoven ,Diana Scherer,food,oat,plant,wheat, , , , ,mix,composite,hard,material,grow plant carpet pattern textile clothing rough root rootsystem,http://dianascherer.nl/
42,New Geology,Jorien Wiltenburg,plastic,plastic,textile,textile,glass,glass,metal,steel,compress,furniture,hard,rock,furniture recycle marble rough,http://jorienwiltenburg.nl/work14.html
43,Plastiglomerate Samples,Kelly Jazvac,plastic,plastic waste,mineral,stone, , , , ,mix,furniture,hard,rock,art sculpture waste environment history grow,http://www.kellyjazvac.com/Stones/Stones.html
44,Coffee Composite Co02,Pilar Bolumburu,food,coffee ground,vinegar,vinegar,glycerin,glycerin,water,water,mix,composite,hard,material,composite bowl mug mould hard homeware rough,https://materiom.org/recipe/171
45,Carrageenan iota,Zoë Powell  ,algae,carrageenan iota,glycerin,glycerin,water,water, , ,heat,composite,hard,material,leather soft translucent,https://materiom.org/recipe/120
46,Eggshell biocomposite,María José Besoain Alejandro Weiss LABVA,food,eggshell,vinegar,vinegar,chemical,alginate,water,water,heat,composite,flexible,material,composite hard solid,https://materiom.org/recipe/60
47,Sawdust / agar - starch,Tamara Schwarz,algae,agar agar,glycerin,glycerin,water,water,starch,starch,heat,bioplastic,flexible,bioplastic,composite container cork rough homeware,https://materiom.org/recipe/53
48,Chitosan 12% - Stiff behaviour,Soraya Bornaz,seafood,chitosan,glycerin,glycerin,vinegar,vinegar,water,water,grow,bioplastic,soft,bioplastic,rubber bioplastic soft flexible seefood marine,https://materiom.org/recipe/48
49,Kombucha Fabric,LABVA,food,green tea,food,sugar,chemical,sodium bicarbonate,water,water,grow,textile,soft,textile,soft translucent fermentated origami,https://materiom.org/recipe/42
50,Cork / agar - starch,Fab Lab Santiago,algae,agar agar,glycerin,glycerin,starch,starch,plant,cork,heat,composite,hard,material,cork composite homeware,https://materiom.org/recipe/40
51,Agar bioplastic ,Clara Davis  ,algae,agar agar,glycerin,glycerin,water,water, , ,heat,bioplastic,soft,bioplastic,translucent bioplastic soft flexible,https://clara-davis.com/albums/bioplastic-wax/
52,Agar - gelatin plastic,Fab Lab Santiago,algae,agar agar,glycerin,glycerin,food,gelatin,water,water,heat,bioplastic,soft,bioplastic,translucent bioplastic soft flexible,https://materiom.org/recipe/24
53,Agar bioplastic (heated),Alysia Garmulewicz  ,algae,agar agar,glycerin,glycerin,water,water, , ,heat,material,soft,bioplastic,transparent translucent bioplastic flexible ,https://materiom.org/recipe/41
54,Gelatin bioplastic,FabTextiles  ,glycerin,glycerin,food,gelatin,water,water, , ,heat,bioplastic,hard,bioplastic,elastic transparent translucent bioplastic ,http://fabtextiles.org/the-secrets-of-bioplastic/
55,Gelatin / ochre 'leather',Fab Lab Santiago,glycerin,glycerin,food,gelatin ,water,water,mineral,red ochre,heat,textile,hard,leather,leather bio-based hard flat ,https://materiom.org/recipe/32
56,MarinaTex ,Lucy Hughes,seafood,fish skin,vinegar,vinegar , , , , ,heat,material,soft,bioplastic,bioplastic transparent translucent seafood fish food-waste marine,https://www.dezeen.com/2019/11/15/marinatex-lucy-hughes-james-dyson-award-design/
57,DIY bioplastics,Lucia Borroni,food,orange peel,starch,starch,chemical,sodium bicarbonate,vinegar,lemon juice,heat,bioplastic,hard,bioplastic,coffee hard homeware rough bowl mug ,https://www.youtube.com/watch?v=PrUjjzznwEE
58,DIY bioplastics,Lucia Borroni,food,coffee ground,starch,starch,chemical,sodium bicarbonate,vinegar,vinegar,heat,bioplastic,hard,bioplastic,hard homeware rough bowl ,https://www.youtube.com/watch?v=PrUjjzznwEE
59,Bio plastic from watermelon,Ong SK,food,watermelon peel,starch,starch,food,honey,vinegar,lemon juice,heat,bioplastic,soft,bioplastic,flexible soft material,https://www.youtube.com/watch?v=Ql9J84zmMAU
60,Banana bioplastic,Mattia Massetti,food,banana peel,glycerin,glycerin,vinegar,vinegar,chemical,baking soda,heat,bioplastic,hard,bioplastic,hard homeware rough ,https://www.youtube.com/watch?v=ielBPntT5W8
61,DIY bioPlastic,"Scuola di Ateneo Architettura e Design ""E. Vittoria"" Camilla Cardellini Benedetta Celani Michela Falcetelli",food,tea waste,starch,starch,vinegar,vinegar,food,honey,heat,bioplastic,hard,bioplastic,hard homeware rough flat,https://www.youtube.com/watch?v=Z1gLJ5jdGOM
62,BIOPLASTIC GRAPES,Sperim Design,food,grapes peel,starch,starch,vinegar,lemon juice,food,honey,heat,bioplastic,hard,bioplastic,hard bowl mug houseware food rough,https://www.youtube.com/watch?v=Gmj2vNiWxjs
63,Bioplastic Coffee,UNICAM - Course of experimentation of innovative materials ,food,coffee ground,starch,starch,vinegar,vinegar,glycerin,glycerin,heat,bioplastic,hard,bioplastic,coffee hard board game mould food rough,https://www.youtube.com/watch?v=Zwu0H5KTys0
64,Bioplastic BIO CC,Fabbiana Cimini,food,nut shell,food,coffee ground,algae,agar,glycerin,glycerin,heat,bioplastic,hard,bioplastic,cork hard flat board rough coffee game mould food rough,https://www.youtube.com/watch?v=8aCOXp9eNME
65,Make Bioplastic,Science Luxembourg,starch,starch,glycerin,glycerin,vinegar,vinegar, , ,heat,bioplastic,flexible,bioplastic,elastic translucent bioplastic ,https://www.youtube.com/watch?v=Cqg-QpaF1lk
66,Home Bioplastic,,starch,starch,food,oil,water,water, , ,heat,bioplastic,soft,bioplastic,elastic bioplastic ,https://www.youtube.com/watch?v=OcqNG-OmiiM
67,Eco-friendly Bioplastics,,starch,starch,vinegar,vinegar,glycerin,glycerin,algae,agar,heat,bioplastic,hard,bioplastic,bioplastic biodegarable transparent translucent food wrap,https://www.youtube.com/watch?v=o89wbDhhvto
68,bioplastic soles,Aurora Pelaggi Christian Simone,starch,starch,chemical,coal,vinegar,vinegar,glycerin,glycerin,heat,bioplastic,hard,bioplastic,shoe fashion hard rubber sole,https://www.youtube.com/watch?v=mj9MxES_Yuw
69,Fish Glue,,seafood,fish, , , , , , ,heat,glue,soft,bioresin,tool glue bio-resin plant seafood collagen marine,https://www.youtube.com/watch?v=IsmE735g3qI
70,Pine Pitch Glue,,plant,pine pitch, , , , , , ,heat,glue,soft,bioresin,tool glue bio-resin plant,https://www.youtube.com/watch?v=Vr1tQuq1rIs
71,Bioplastic Jewelry,Lili Design Ltd,starch,starch,glycerin,glycerin,vinegar,vinegar,water,water,heat,bioplastic,soft,bioplastic,jewelry transparent mould,https://www.youtube.com/watch?v=-7KCzldr75o
